diameter,closeness,clustering,betweenness,edit count,editor count,article size
35,0.14876091569478117,0.06248328730537227,0.0050706597102051915,3014,1232,121588
29,0.18391230218562282,0.1031127944047598,0.0021066599892109643,6917,2276,109583
40,0.1371158035805478,0.05063993629942184,0.0029418365678655152,4804,2302,104206
31,0.16976236128741273,0.10253195559842006,0.0015443864862721504,9291,3387,171148
32,0.15061788635934834,0.042555826295739035,0.00279406512706957,4752,2151,136890
36,0.13704553439540149,0.059063209329883196,0.0033803104331975036,5033,2023,140061
39,0.1269136584870959,0.036014237660068844,0.0025226640144920777,5819,2926,100692
33,0.1637430104313135,0.06855882633074893,0.001802858563582037,8108,3053,129400
53,0.11637361397017262,0.04497086470732662,0.002301872864710158,9124,3564,96986
40,0.11830348978752811,0.039048056370145454,0.005609577712115974,3365,1438,87101
31,0.18534528231840242,0.14229144897332524,0.005918847420735066,2108,844,41119
53,0.11741518123371547,0.05832779582880836,0.0037970960694785377,4668,2197,122129
37,0.14171120242541568,0.06543265261131524,0.0035903591861498425,4601,1832,122105
26,0.15652599310531673,0.0666427909918996,0.0008922448392725276,19085,6392,255527
37,0.14627995996930118,0.07516878713079804,0.0046813258417060044,6165,1418,131080
62,0.10670690384137589,0.03435085068382027,0.016825008958917014,1113,547,59016
31,0.17191977754976698,0.07619996288892188,0.001944913945737783,9351,2674,90924
29,0.15945996564286619,0.07614231042393392,0.005271302617635375,2913,1093,77380
31,0.14971529944777665,0.06628748757575127,0.007802604842478833,2252,790,71033
43,0.13829897684915327,0.040662974748281545,0.003012807233599872,5157,2253,114710
54,0.10863984520111014,0.023459325975664358,0.004539335235771633,4257,1942,133524
46,0.09485027975886877,0.030700705768938838,0.021186372935433826,1861,493,57622
26,0.15631427602664802,0.045463145115464454,0.0023802058790341456,5623,2432,101009
34,0.14156013030825998,0.05965955069245283,0.006868715830826915,2350,965,44636
48,0.08964517241783328,0.05689713441766821,0.018489055566999223,1250,614,44140
37,0.12906181930370902,0.06669641897920474,0.009083705899258412,1976,820,118157
33,0.11297162142746942,0.03940645332115077,0.013040336663120804,1378,659,34799
26,0.13934706268022123,0.029130161193332192,0.0020474363196360465,7259,3143,103447
35,0.12957614092476757,0.03463130152402173,0.002948438366690006,4908,2415,63047
28,0.14858439691103076,0.08329538936673551,0.00897441224546192,1754,691,86679
48,0.07229850139141165,0.05323542804545619,0.08029383624536868,579,185,54004
29,0.1700472737539538,0.12074722955529667,0.0073895823746298805,2269,733,57742
34,0.12261570068636557,0.04419223216384015,0.01055079344259917,1894,736,76539
77,0.08731958478173522,0.06774504773862393,0.013339067224097752,2402,890,70751
57,0.1509321489163484,0.09023278236988633,0.004403899841512986,3302,1505,49732
30,0.12538511549737055,0.06445098883744073,0.02572838632160666,837,297,38153
27,0.165808153962075,0.0906634544528309,0.005573558465277794,2388,989,58908
26,0.18985850478873945,0.10563152410852661,0.0014491123012432584,10402,3175,124570
34,0.13181156986401482,0.02866371390722047,0.0018290439332589758,8890,3839,116104
