title,diameter,closeness,clustering,betweenness,edit count,editor count,article size,class
Arctic tern,29,0.11604034335402619,0.024823301075810437,0.01446146468309791,1050,555,30629,FA
Taiko,94,0.06566459938180814,0.033028348233346265,0.02247425283533823,2382,741,99188,FA
Thylacine,29,0.15008952328858102,0.06878684459912261,0.0035508795531483187,4019,1706,99171,FA
Mayfly,62,0.07160204818444317,0.029056271328652655,0.019990290223656646,1444,742,61788,FA
Gustav Holst,34,0.12791549403805863,0.046378183394139426,0.008722105338104753,1935,848,89227,FA
Damon Hill,51,0.12708518791910647,0.06436166572117659,0.010585410533423567,1837,732,75822,FA
Grim Fandango,29,0.14211524085918026,0.066824257415312,0.009260967688766544,1656,721,116361,FA
Cat's Eye Nebula,40,0.08448281769903972,0.01018320314455961,0.036027619795538965,586,317,24470,FA
Abd al-Malik ibn Marwan,46,0.08445932205848382,0.051100613724376104,0.03946214735442433,1036,303,86080,FA
Arthur Sifton,27,0.11940722898101232,0.06061009720530092,0.051240963337737526,430,156,67566,FA
"Hillsboro, Oregon",26,0.1963692275458276,0.16555502700012945,0.012346356309224685,1291,374,90776,FA
Naruto,30,0.18143361765779795,0.11566854789810752,0.001115947573321944,11807,4306,146194,FA
Dungeons & Dragons,30,0.1521550229798968,0.06272589556569239,0.0019527984615685665,7005,3029,105934,FA
Mary Rose,31,0.1269342046877173,0.032370812167462404,0.008736466727710265,1860,873,111831,FA
Oberon (moon),23,0.150786725321233,0.06127968960280814,0.02242617971686384,736,270,38420,FA
White-bellied sea eagle,21,0.14464653986720763,0.07547032041626517,0.02866761803342711,794,228,55522,FA
Henry Wood,30,0.13886430879374598,0.07906996444130476,0.031512891777945466,545,219,67406,FA
Hattie Jacques,29,0.1297431796720335,0.08573664000751893,0.020226827313803833,1310,371,68462,FA
The Notorious B.I.G.,40,0.10130139223319931,0.03218724672244883,0.003287396397704312,6369,2856,76714,FA
Richard Nixon,31,0.1451833204266795,0.06815981215112313,0.0014786501905971635,11668,4245,177602,FA
